date,value,ws,wd
2018-01-01 00:00:00,262.32,0.0,0.0
2018-01-01 01:00:00,217.72,0.0,0.0
2018-01-01 02:00:00,209.62,0.0,0.0
2018-01-01 03:00:00,155.41,0.0,0.0
2018-01-01 04:00:00,167.47,0.0,0.0
2018-01-01 05:00:00,217.15,0.86,260.0
2018-01-01 06:00:00,274.86,0.86,260.0
2018-01-01 07:00:00,306.13,0.0,0.0
2018-01-01 08:00:00,252.82,0.0,0.0
2018-01-01 09:00:00,145.62,0.0,0.0
2018-01-01 10:00:00,141.74,0.0,0.0
2018-01-01 11:00:00,118.28,0.0,0.0
2018-01-01 12:00:00,284.93,0.0,0.0
2018-01-01 13:00:00,376.72,1.68,281.0
2018-01-01 14:00:00,363.38,2.87,284.0
2018-01-01 15:00:00,317.02,4.09,297.0
2018-01-01 16:00:00,312.46,4.59,300.0
2018-01-01 17:00:00,327.14,2.88,300.0
2018-01-01 18:00:00,435.52,2.62,329.0
2018-01-01 19:00:00,283.81,3.36,350.0
2018-01-01 20:00:00,171.25,2.84,341.0
2018-01-01 21:00:00,172.87,1.2,330.0
2018-01-01 22:00:00,172.75,0.0,0.0
2018-01-01 23:00:00,203.63,1.2,260.0
2018-01-02 00:00:00,238.83,2.7,283.0
2018-01-02 01:00:00,232.09,4.02,300.0
2018-01-02 02:00:00,198.45,4.61,302.0
2018-01-02 03:00:00,184.21,4.58,296.0
2018-01-02 04:00:00,186.8,4.67,285.0
2018-01-02 05:00:00,203.29,3.74,284.0
2018-01-02 06:00:00,205.31,3.03,301.0
2018-01-02 07:00:00,199.04,3.96,298.0
2018-01-02 08:00:00,260.76,3.63,289.0
2018-01-02 09:00:00,218.55,2.92,278.0
2018-01-02 10:00:00,179.93,4.02,270.0
2018-01-02 11:00:00,158.99,3.12,262.0
2018-01-02 12:00:00,202.1,3.68,263.0
2018-01-02 13:00:00,184.44,4.44,281.0
2018-01-02 14:00:00,206.54,2.87,304.0
2018-01-02 15:00:00,307.77,2.98,262.0
2018-01-02 16:00:00,325.19,5.08,257.0
2018-01-02 17:00:00,273.695,3.73,266.0
2018-01-03 09:00:00,167.65,4.91,276.0
2018-01-03 18:00:00,223.96,4.35,258.0
2018-01-03 19:00:00,145.96,3.89,247.0
2018-01-03 20:00:00,117.64,3.12,228.0
2018-01-03 21:00:00,71.34,3.39,260.0
2018-01-03 22:00:00,75.04,3.97,289.0
2018-01-03 23:00:00,87.14,1.68,300.0
2018-01-04 00:00:00,83.34,0.0,0.0
2018-01-04 01:00:00,85.72,0.0,0.0
2018-01-04 02:00:00,81.87,0.0,0.0
2018-01-04 03:00:00,73.98,0.0,0.0
2018-01-04 04:00:00,90.11,1.68,260.0
2018-01-04 05:00:00,125.55,3.07,264.0
2018-01-04 06:00:00,158.49,3.73,263.0
2018-01-04 07:00:00,257.15,4.69,260.0
2018-01-04 08:00:00,227.69,3.19,262.0
2018-01-04 09:00:00,181.8,3.12,248.0
2018-01-04 10:00:00,223.12,4.01,244.0
2018-01-04 11:00:00,355.03,2.55,226.0
2018-01-04 12:00:00,267.51,1.95,251.0
2018-01-04 13:00:00,236.84,3.8,267.0
2018-01-04 14:00:00,235.65,3.23,241.0
2018-01-04 15:00:00,217.02,2.41,109.0
2018-01-04 16:00:00,275.44,6.9,84.0
2018-01-04 17:00:00,282.45,6.15,78.0
2018-01-04 18:00:00,315.58,5.36,97.0
2018-01-04 19:00:00,229.08,6.38,110.0
2018-01-04 20:00:00,171.54,5.23,114.0
2018-01-04 21:00:00,161.41,4.69,120.0
2018-01-04 23:00:00,182.33,4.99,64.0
2018-01-05 00:00:00,152.11,5.21,81.0
2018-01-05 01:00:00,160.94,5.08,93.0
2018-01-05 02:00:00,143.84,5.4,124.0
2018-01-05 03:00:00,147.46,7.15,126.0
2018-01-05 04:00:00,148.96,6.34,124.0
2018-01-05 05:00:00,193.22,3.98,122.0
2018-01-05 06:00:00,194.7,3.91,127.0
2018-01-05 07:00:00,172.26,4.67,135.0
2018-01-05 08:00:00,119.18,4.01,134.0
2018-01-05 09:00:00,77.63,3.8,117.0
2018-01-05 10:00:00,88.98,4.01,96.0
2018-01-05 11:00:00,278.56,3.92,94.0
2018-01-05 12:00:00,212.71,4.12,124.0
2018-01-05 13:00:00,193.63,4.67,155.0
2018-01-05 14:00:00,215.5,3.65,145.0
2018-01-05 15:00:00,207.61,4.42,127.0
2018-01-05 16:00:00,233.87,5.99,108.0
2018-01-05 17:00:00,277.51,5.17,83.0
2018-01-05 18:00:00,272.49,5.17,83.0
2018-01-05 19:00:00,261.07,4.87,103.0
2018-01-05 21:00:00,110.33,3.41,135.0
2018-01-05 22:00:00,183.6,3.15,110.0
2018-01-05 23:00:00,191.64,2.53,94.0
2018-01-06 00:00:00,177.44,2.24,141.0
2018-01-06 01:00:00,192.3,1.68,161.0
2018-01-06 02:00:00,207.53,0.0,0.0
2018-01-06 03:00:00,147.0,0.0,0.0
2018-01-06 04:00:00,146.27,0.0,0.0
2018-01-06 05:00:00,146.64,0.0,0.0
2018-01-06 06:00:00,183.97,1.68,281.0
2018-01-06 07:00:00,194.52,3.3,270.0
2018-01-06 08:00:00,251.63,2.53,256.0
2018-01-06 09:00:00,264.0,2.46,270.0
2018-01-06 10:00:00,198.36,3.15,260.0
2018-01-06 11:00:00,146.17,3.49,257.0
2018-01-06 12:00:00,100.57,4.22,260.0
2018-01-06 13:00:00,105.26,5.49,274.0
2018-01-06 14:00:00,156.9,6.55,288.0
2018-01-06 15:00:00,191.47,6.41,299.0
2018-01-06 16:00:00,250.93,6.38,311.0
2018-01-06 17:00:00,346.95,5.06,301.0
2018-01-06 18:00:00,286.84,3.9,294.0
2018-01-06 19:00:00,210.23,1.68,300.0
2018-01-06 20:00:00,270.35,0.86,281.0
2018-01-06 21:00:00,174.17,2.53,274.0
2018-01-06 22:00:00,133.34,1.68,270.0
2018-01-06 23:00:00,222.02,1.61,236.0
2018-01-07 00:00:00,207.1,3.14,253.0
2018-01-07 01:00:00,227.87,3.36,270.0
2018-01-07 02:00:00,183.32,3.65,265.0
2018-01-07 03:00:00,140.76,3.65,261.0
2018-01-07 04:00:00,76.0,3.35,255.0
2018-01-07 05:00:00,97.79,3.36,251.0
2018-01-07 06:00:00,113.17,4.02,251.0
2018-01-07 07:00:00,95.33,4.67,245.0
2018-01-07 08:00:00,43.95,4.65,240.0
2018-01-07 09:00:00,35.8,5.69,252.0
2018-01-07 10:00:00,48.33,7.49,260.0
2018-01-07 11:00:00,47.77,8.58,265.0
2018-01-07 12:00:00,53.5,9.15,275.0
2018-01-07 13:00:00,63.65,10.94,286.0
2018-01-07 14:00:00,130.3,11.22,292.0
2018-01-07 15:00:00,260.04,10.47,287.0
2018-01-07 16:00:00,262.29,11.39,281.0
2018-01-07 17:00:00,209.47,9.06,285.0
2018-01-07 18:00:00,158.13,7.13,274.0
2018-01-07 19:00:00,146.89,6.91,256.0
2018-01-07 20:00:00,188.71,4.89,256.0
2018-01-07 21:00:00,180.76,5.47,268.0
2018-01-07 22:00:00,189.96,6.38,270.0
2018-01-07 23:00:00,186.64,3.68,263.0
2018-01-08 00:00:00,164.81,2.5,253.0
2018-01-08 01:00:00,160.82,3.35,255.0
2018-01-08 02:00:00,114.2,3.36,251.0
2018-01-08 03:00:00,116.08,3.3,240.0
2018-01-08 04:00:00,173.71,4.02,230.0
2018-01-08 05:00:00,177.37,3.19,232.0
2018-01-08 06:00:00,135.28,2.53,247.0
2018-01-08 07:00:00,93.71,3.34,245.0
