Date,Start Time,End Time,Event
2025-06-02,08:30:00,09:00:00,Registration
2025-06-02,09:00:00,09:30:00,Opening Remarks: Prof. Rajat Moona IIT Gandhinagar; Program Introduction: Anirban Dasgupta and Nipun Batra
2025-06-02,10:30:00,11:00:00,Break
2025-06-02,11:00:00,11:30:00,"Speaker: Prasant Misra (TCS Research)
Topic: Information Processing Techniques for Mobile Sensing at Scale"
2025-06-02,12:30:00,13:00:00,Lunch Break
2025-06-02,14:00:00,14:30:00,Speaker: Nipun BatraTopic: Sleep Apnea sensing
2025-06-02,15:30:00,16:00:00,Break
2025-06-02,16:00:00,16:30:00,Speaker/TA: Nipun Batra Tutorial / Lab Topic: Object Detection (Zeel)
2025-06-03,09:00:00,09:30:00,Keynote: Venkat Padmnabhan (Microsoft Research India)
2025-06-03,10:30:00,11:00:00,Break
2025-06-03,11:00:00,11:30:00,"Speaker: Shailesh Deshpande (TCS Research)
Topic: Remote Sensing for Sustainability"
2025-06-03,12:30:00,13:00:00,Lunch Break
2025-06-03,14:00:00,14:30:00,Speaker: Pallavi Bharadwaj (IIT Gandhinagar)Topic: EVs
2025-06-03,15:30:00,16:00:00,Break
2025-06-03,16:00:00,16:30:00,"Speaker/TA: TCS Research
Tutorial / Lab Topic: 
Optimization"
2025-06-04,09:00:00,09:30:00,Speaker: Nipun Topic: Energy Disaggregation
2025-06-04,10:30:00,11:00:00,Break
2025-06-04,11:00:00,11:30:00,Udit (Theory): Network and optimization for food security
2025-06-04,12:30:00,13:00:00,Lunch Break
2025-06-04,14:00:00,14:30:00,"Speaker: Yogesh Kumar Meena Topic: Accessibility interfaces and emerging markets
"
2025-06-04,15:30:00,16:00:00,Break
2025-06-04,16:00:00,16:30:00,Speaker/TA: Tutorial / Lab Topic: VLMs (Zeel/Ayush/Shataxi)
2025-06-05,09:00:00,09:30:00,"Speaker: Jigar Doshi 

Building Socially Impactful Solutions using AI - Public Health"
2025-06-05,10:30:00,11:00:00,Break
2025-06-05,11:00:00,11:30:00,Udit : Physics guided machine learning for water and floods
2025-06-05,12:30:00,13:00:00,Lunch Break
2025-06-05,14:00:00,14:30:00,Speaker: Vaibhav Tripathi Topic: Connectome based Predictive Modeling
2025-06-05,15:30:00,16:00:00,Break
2025-06-05,16:00:00,16:30:00,"Speaker/TA: Himanshu 
Tutorial / Lab Topic: LLM finetuning"
2025-06-06,09:00:00,09:30:00,"Speaker: Jigar Doshi 

Building Socially Impactful Solutions using AI - Agriculture and Climate"
2025-06-06,10:30:00,11:00:00,Break
2025-06-06,11:00:00,11:30:00,Udit (Tutorial)
2025-06-06,12:30:00,13:00:00,Lunch Break
2025-06-06,14:00:00,14:30:00,"Speaker: Niladri/Rishiraj (Jio)
Topic:"
2025-06-06,15:30:00,16:00:00,Break
2025-06-06,16:00:00,16:30:00,Speaker/TA: Tutorial / Lab Topic: Meta learning
2025-06-07,09:00:00,09:30:00,Holiday
2025-06-08,09:00:00,09:30:00,Speaker: Dr. Bimal (ISRO SAC) Topic: TBD
2025-06-08,10:30:00,11:00:00,Break
2025-06-08,11:00:00,11:30:00,Speaker: Shanmuga Topic: AI for Pose Estimation
2025-06-08,12:30:00,13:00:00,Lunch Break
2025-06-08,14:00:00,14:30:00,Speaker: Topic: Alok (Google Deepmind India)
2025-06-08,15:30:00,16:00:00,Break
2025-06-08,16:00:00,16:30:00,Speaker/TA: Tutorial / Lab Topic: Alok (Google Deepmind India)
2025-06-09,09:00:00,09:30:00,Speaker: Nipun Topic: Brick Kiln detection from satellite imagery
2025-06-09,10:30:00,11:00:00,Break
2025-06-09,11:00:00,11:30:00,Speaker: Krishna Topic: Brain Computer Interfacing
2025-06-09,12:30:00,13:00:00,Lunch Break
2025-06-09,14:00:00,14:30:00,Speaker: Topic:
2025-06-09,15:30:00,16:00:00,Break
2025-06-09,16:00:00,16:30:00,Speaker/TA: Tutorial / Lab Topic: Active Learning (Vinayak + Suruchi)
2025-06-10,09:00:00,09:30:00,Speaker: Nipun Topic: VayuBuddy: LLMs for air quality informatics
2025-06-10,10:30:00,11:00:00,Break
2025-06-10,11:00:00,11:30:00,Speaker: Manisha Topic: Adversarial Attack on Fairness in FL
2025-06-10,12:30:00,13:00:00,Lunch Break
2025-06-10,14:00:00,14:30:00,"""Speaker: Vaibhav Rajan (Google DeepMind)
Topic: Personalized Treatment Planning Models for Cancer"""
2025-06-10,15:30:00,16:00:00,Break
2025-06-10,16:00:00,16:30:00,Speaker/TA: Tutorial / Lab Topic: SSL Vision Text/RL
2025-06-11,09:00:00,09:30:00,"Tavpritesh Sethi (IIIT-Delhi)
Causal Models"
2025-06-11,10:30:00,11:00:00,Break
2025-06-11,11:00:00,11:30:00,"Speaker: Vaibhav Rajan (Google DeepMind)
Topic: Personalized Treatment Planning Models for Cancer"
2025-06-11,12:30:00,13:00:00,Lunch Break
2025-06-11,14:00:00,14:30:00,Sayan Ranu (IIT Delhi) Graph neural networks
2025-06-11,15:30:00,16:00:00,Break
2025-06-11,16:00:00,16:30:00,"Sayan Ranu (IIT Delhi)Graph neural networks hands-on
(Requires TA)"
2025-06-12,09:00:00,09:30:00,Sayan Ranu (IIT Delhi) Pollution monitoring using GNNs
2025-06-12,10:30:00,11:00:00,Break
2025-06-12,11:00:00,11:30:00,Sayan Ranu (IIT Delhi) Graph condensation for low-resource environments
2025-06-12,12:30:00,13:00:00,Lunch Break
2025-06-12,14:00:00,14:30:00,"Tavpritesh Sethi (IIIT-Delhi)
Health Systems Preparedness with Data and AI

"
2025-06-12,15:30:00,16:00:00,Break
2025-06-12,16:00:00,16:30:00,Speaker/TA: Tutorial / Lab Topic: Ujjwal
