Title,Authors,Year,Venue,Type,DOI,URL,Pages,Volume,Number
Space to Policy: Scalable Brick Kiln Detection and Automatic Compliance Monitoring with Geospatial Data,"Patel, Zeel B and Mondal, Rishabh and Dubey, Shataxi and Jaiswal, Suraj and Guttikunda, Sarath and Batra, Nipun",2025,ACM Journal on Computing and Sustainable Societies (JCSS),article,,https://arxiv.org/abs/2412.04065,,,
SentinelKilnDB: A Large-Scale Dataset and Benchmark for OBB Brick Kiln Detection in South Asia Using Satellite Imagery,"Mondal, Rishabh and Parab, Jeet and Kubadia, Heer and Dubey, Shataxi and Junagade, Shardul and Patel, Zeel B and Batra, Nipun",2025,Advances in Neural Information Processing Systems,article,,,,,
"Optimizing Pollutant Exposure, Energy Consumption, and Thermal Comfort in a House via Deep Reinforcement Learning Control","Mishra, Nishchaya Kumar and Batra, Nipun and Patel, Sameer",2025,Journal of Building Engineering,article,,,114074,,
Constraining the 3HDM parameter space using active learning,"Batra, Nipun and Coleppa, Baradhwaj and Khanna, Akshat and Rai, Santosh Kumar and Sarkar, Agnivo",2025,Physical Review D,article,,,015011,112,1
VayuBuddy: an LLM-Powered Chatbot to Democratize Air Quality Insights,"Patel, Zeel B and Bachwana, Yash and Sharma, Nitish and Guttikunda, Sarath and Batra, Nipun",2024,,misc,,https://arxiv.org/abs/2411.12760,,,
SpiroActive: Active Learning for Efficient Data Acquisition for Spirometry,"Jain, Ankita Kumari and Sharma, Nitish and Kanda, Madhav and Batra, Nipun",2024,arXiv preprint arXiv:2410.22950,article,,https://arxiv.org/abs/2410.22950,,,
JoulesEye: Energy Expenditure Estimation and Respiration Sensing from Thermal Imagery While Exercising,"Adhikary, Rishiraj and Sadeh, Maite and Batra, Nipun and Goel, Mayank",2024,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies",article,10.1145/3654888,,1--32,8,2
Benchmarking Active Learning for NILM,"Patel, Dhruv and Jain, Ankita Kumari and Khandor, Haikoo and Choudhary, Xhitij and Batra, Nipun",2024,arXiv preprint arXiv:2411.15805,article,,https://arxiv.org/abs/2411.15805,,,
SpiroMask: measuring Lung function using consumer-grade masks,"Adhikary, Rishiraj and Lodhavia, Dhruvi and Francis, Chris and Patil, Rohit and Srivastava, Tanmay and Khanna, Prerna and Batra, Nipun and Breda, Joseph and Peplinski, Jacob and Patel, Shwetak",2023,ACM Transactions on Computing for Healthcare,article,10.1145/3570167,,,,
AIRDELHI: Fine-Grained Spatio-Temporal Particulate Matter Dataset From Delhi For ML based Modeling,"Chauhan, Sachin and Patel, Zeel B and Ranu, Sayan and Sen, Rijurekha and Batra, Nipun",2023,Thirty-seventh Conference on Neural Information Processing Systems Datasets and Benchmarks Track,inproceedings,,https://openreview.net/forum?id=dElWgZcqxm,,,
Vastr-GAN: Versatile Apparel Synthesised from Text using a Robust Generative Adversarial Network,"Shastri, Hetvi and Lodhavia, Dhruvi and Purohit, Palak and Kaoshik, Ronak and Batra, Nipun",2022,CODS-COMAD '22 : 5th Joint International Conference on Data Science \& Management of Data (9th ACM IKDD CODS and 27th COMAD),inproceedings,,,,,
Samachar: Print News Media on Air Pollution in India,"Patel, Karm and Adhikary, Rishiraj and Patel, Zeel B and Batra, Nipun and Guttikunda, Sarath",2022,ACM SIGCAS/SIGCHI Conference on Computing and Sustainable Societies (COMPASS) (COMPASS '22),inproceedings,,,,,
Accurate and Scalable Gaussian Processes for Fine-grained Air Quality Inference,"Patel, Zeel B and Purohit, Palak and Patel, Harsh and Sahni, Shivam and Batra, Nipun",2022,Thirty-Sixth AAAI Conference on Artificial Intelligence (AAAI-22),inproceedings,,,,,
"""I do not know"": Quantifying Uncertainty in Neural Network Based Approaches for Non-Intrusive Load Monitoring","Bansal, Vibhuti and Khoiwal, Rohit and Shastri, Hetvi and Khandor, Haikoo and Batra, Nipun",2022,The 9th ACM International Conference on Systems for Energy-Efficient Built Environments (BuildSys 2022),inproceedings,,,,,
"Vartalaap: what drives \#airquality discussions: politics, pollution or pseudo-science?","Adhikary, Rishiraj and Patel, Zeel B and Srivastava, Tanmay and Batra, Nipun and Singh, Mayank and Bhatia, Udit and Guttikunda, Sarath",2021,Proceedings of the ACM on Human-Computer Interaction,article,,,,5,CSCW1
Neural Network Approaches and Dataset Parser for NILM Toolkit,"Shastri, Hetvi and Batra, Nipun",2021,"8th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation (Buildsys)",inproceedings,,,,,
Exploring Hidden Markov Models: An interactive illustration,"Kukunuri, Rithwik and Adhikary, Rishiraj and Jaguste, Mahika Om and Batra, Nipun and Tendulkar, Ashish",2021,4th Workshop on Visualization for AI Explainability (VISxAI'21),inproceedings,,,,,
PlantDoc: A Dataset for Visual Plant Disease Detection,"Singh, Davinder and Jain, Naman and Jain, Pranjali and Kayal, Pratik and Kumawat, Sudhakar and Batra, Nipun",2020,ACM India Joint International Conference on Data Science \& Management of Data (CODS-COMAD 2020),inproceedings,,,,,
